county,source_dem_votes,source_rep_votes,actual_target_dem_votes,actual_target_rep_votes,predicted_target_dem_votes,predicted_target_rep_votes,counterfactual_full_return_dem_votes,counterfactual_full_return_rep_votes,dem_percent_error_0_to_100_scale,rep_percent_error_0_to_100_scale
Adams,4443,7763,3600,5171,3449.428258,4764.878714,4443.000000,7763.000000,-4.182548,-7.853825
Ashland,4612,4191,3869,2816,3580.635410,2572.408436,4612.000000,4191.000000,-7.453207,-8.650269
Barron,8941,16726,7037,10719,6941.557069,10266.309594,8941.000000,16726.000000,-1.356301,-4.223252
Bayfield,6107,4860,5228,3413,4741.314061,2983.036268,6107.000000,4860.000000,-9.309218,-12.597824
Brown,67937,79132,51403,48228,52744.498671,48570.704936,67937.000000,79132.000000,2.609767,0.710593
Buffalo,2765,5213,2310,3227,2146.673224,3199.705364,2765.000000,5213.000000,-7.070423,-0.845821
Burnett,3665,7008,2728,4559,2845.409536,4301.464644,3665.000000,7008.000000,4.303869,-5.648944
Calumet,12927,19488,9743,12288,10036.182556,11961.607160,12927.000000,19488.000000,3.009161,-2.656192
Chippewa,14573,23399,11580,14036,11314.093633,14362.153425,14573.000000,23399.000000,-2.296255,2.323692
Clark,4509,10481,3815,6639,3500.668921,6433.169368,4509.000000,10481.000000,-8.239347,-3.100326
Columbia,16388,17988,13248,11091,12723.211861,11040.916954,16388.000000,17988.000000,-3.961263,-0.451565
Crawford,3860,5113,3354,3191,2996.802403,3138.326017,3860.000000,5113.000000,-10.649899,-1.650705
Dane,273995,85454,234129,52372,212722.506343,52451.107259,273995.000000,85454.000000,-9.143034,0.151049
Dodge,16518,33067,12796,21251,12824.140440,20296.308701,16518.000000,33067.000000,0.219916,-4.492454
Door,10565,10099,8592,6716,8202.387925,6198.700262,10565.000000,10099.000000,-4.534591,-7.702498
Douglas,13073,11732,9501,6565,10149.533113,7201.025000,13073.000000,11732.000000,6.825946,9.688119
Dunn,10643,14726,8545,8586,8262.945072,9038.722652,10643.000000,14726.000000,-3.300818,5.272801
Eau Claire,34400,27728,27618,16334,26707.254578,17019.265360,34400.000000,27728.000000,-3.297652,4.195331
Florence,783,2356,557,1472,607.900591,1446.097417,783.000000,2356.000000,9.138347,-1.759686
Fond du Lac,20495,37272,15634,23842,15911.778563,22877.310246,20495.000000,37272.000000,1.776759,-4.046178
Forest,1681,3382,1196,2159,1305.084155,2075.849518,1681.000000,3382.000000,9.120749,-3.851342
Grant,10966,15922,8722,8796,8513.713771,9772.819643,10966.000000,15922.000000,-2.388056,11.105271
Green,10903,10843,9343,6662,8464.802229,6655.362605,10903.000000,10843.000000,-9.399527,-0.099631
Green Lake,3449,7458,2626,4718,2677.712821,4577.671706,3449.000000,7458.000000,1.969262,-2.974317
Iowa,7750,6631,6671,4123,6016.896017,4070.064505,7750.000000,6631.000000,-9.805186,-1.283907
Iron,1487,2557,1174,1572,1154.467662,1569.469905,1487.000000,2557.000000,-1.663743,-0.160948
Jackson,4157,6204,3499,3683,3227.385386,3807.974693,4157.000000,6204.000000,-7.762635,3.393285
Jefferson,20574,28771,16230,18334,15973.112084,17659.451950,20574.000000,28771.000000,-1.582797,-3.679219
Juneau,4854,9525,3850,5579,3768.517841,5846.382810,4854.000000,9525.000000,-2.116420,4.792666
Kenosha,41826,47478,30434,27277,32472.605523,29141.686409,41826.000000,47478.000000,6.698448,6.836113
Kewaunee,4059,8267,3191,5353,3151.300766,5074.230624,4059.000000,8267.000000,-1.244100,-5.207722
La Crosse,39008,32247,30540,17954,30284.784494,19792.998055,39008.000000,32247.000000,-0.835676,10.242832
Lafayette,3469,5256,2900,3065,2693.240295,3226.098483,3469.000000,5256.000000,-7.129645,5.256068
Langlade,3746,7782,2859,4825,2908.295804,4776.540790,3746.000000,7782.000000,1.724232,-1.004336
Lincoln,6306,10633,4617,6363,4895.812424,6526.465976,6306.000000,10633.000000,6.038822,2.569008
Manitowoc,17399,28200,13919,18596,13508.125651,17308.975878,17399.000000,28200.000000,-2.951896,-6.920973
Marathon,31529,46213,23964,29369,24478.285744,28365.237669,31529.000000,46213.000000,2.146076,-3.417761
Marinette,7415,16670,5656,10031,5756.810834,10231.937159,7415.000000,16670.000000,1.782370,2.003162
Marquette,3252,6041,2529,3870,2524.767206,3707.926357,3252.000000,6041.000000,-0.167370,-4.187949
Menominee,1266,296,837,191,982.889078,181.682867,1266.000000,296.000000,17.429997,-4.878080
Milwaukee,316292,138022,227345,77299,245560.783869,84717.002435,316292.000000,138022.000000,8.012397,9.596505
Monroe,8476,14563,6663,8340,6580.543308,8938.674316,8476.000000,14563.000000,-1.237531,7.178349
Oconto,6967,17675,5386,11279,5408.995426,10848.799597,6967.000000,17675.000000,0.426948,-3.814171
Oneida,10080,14455,7733,9222,7825.846690,8872.384621,10080.000000,14455.000000,1.200656,-3.791101
Outagamie,49438,60827,37732,36740,38382.361972,37335.215452,49438.000000,60827.000000,1.723635,1.620075
Ozaukee,27874,34504,22814,24352,21640.639945,21178.329919,27874.000000,34504.000000,-5.143158,-13.032482
Pepin,1523,2798,1215,1697,1182.417114,1717.394131,1523.000000,2798.000000,-2.681719,1.201776
Pierce,10171,14417,8096,8504,7896.496695,8849.060469,10171.000000,14417.000000,-2.464221,4.057625
Polk,9567,18296,7400,11157,7427.566993,11229.965343,9567.000000,18296.000000,0.372527,0.653987
Portage,21503,20987,17476,12812,16694.363233,12881.683573,21503.000000,20987.000000,-4.472630,0.543893
Price,3005,5763,2459,3865,2333.002907,3537.291773,3005.000000,5763.000000,-5.123916,-8.478867
Racine,49721,56347,37235,36323,38602.075724,34585.420703,49721.000000,56347.000000,3.671480,-4.783689
Richland,3985,5207,3309,3043,3093.849113,3196.022603,3985.000000,5207.000000,-6.501991,5.028676
Rock,46642,40218,35186,22268,36211.621164,24685.545811,46642.000000,40218.000000,2.914856,10.856592
Rusk,2516,5660,2107,3645,1953.356178,3474.071045,2516.000000,5660.000000,-7.292066,-4.689409
Sauk,18172,18798,14548,10913,14108.262506,11538.089665,18172.000000,18798.000000,-3.022666,5.727936
Sawyer,4599,6422,3464,4234,3570.542552,3941.781670,4599.000000,6422.000000,3.075709,-6.901708
Shawano,7336,15850,5467,9643,5695.477314,9728.626513,7336.000000,15850.000000,4.179208,0.887965
Sheboygan,27735,38763,21280,25130,21532.724004,23792.476311,27735.000000,38763.000000,1.187613,-5.322418
St. Croix,23870,35537,18477,21738,18532.039732,21812.378574,23870.000000,35537.000000,0.297882,0.342159
Taylor,2823,8209,2176,5264,2191.702898,5038.630602,2823.000000,8209.000000,0.721641,-4.281334
Trempealeau,6219,9661,5068,5702,4828.267913,5929.858722,6219.000000,9661.000000,-4.730310,3.996119
Vernon,7514,8807,6612,5696,5833.671829,5405.679098,7514.000000,8807.000000,-11.771448,-5.096926
Vilas,6119,9837,4572,6541,4750.630545,6037.886373,6119.000000,9837.000000,3.907055,-7.691693
Walworth,23161,36603,18461,23620,17981.590793,22466.682414,23161.000000,36603.000000,-2.596876,-4.882801
Washburn,3867,6962,3129,4609,3002.237019,4273.230144,3867.000000,6962.000000,-4.051230,-7.285091
Washington,28504,61604,21906,42972,22129.755363,37812.132979,28504.000000,61604.000000,1.021434,-12.007510
Waukesha,108478,162768,85130,116000,84219.464016,99905.935665,108478.000000,162768.000000,-1.069583,-13.874193
Waupaca,9947,20093,7706,12334,7722.588991,12332.952210,9947.000000,20093.000000,0.215274,-0.008495
Waushara,4571,9625,3498,6386,3548.804089,5907.762157,4571.000000,9625.000000,1.452375,-7.488848
Winnebago,44660,49179,34605,30047,34672.848531,30185.749103,44660.000000,49179.000000,0.196066,0.461774
Wood,16599,24997,12838,15919,12887.026708,15342.995391,16599.000000,24997.000000,0.381887,-3.618347
